part,id_modulo,analito,envio_str,envio,item_ensaio,sistema,valor
6235,322,Glicose,Dez/2023,2023-12-01,GB01,1,
16615,322,Glicose,Jun/2024,2024-06-01,GB01,1,198.0
16615,322,Glicose,Jun/2024,2024-06-01,GB02,1,48.0
16615,322,Glicose,Jun/2024,2024-06-01,GB03,1,93.0
16637,322,Glicose,Jun/2024,2024-06-01,GB01,1,195.0
359,322,Glicose,Dez/2023,2023-12-01,GB01,1,94.0
142,322,Glicose,Dez/2023,2023-12-01,GB03,2,358.0
151,322,Glicose,Dez/2023,2023-12-01,GB01,1,96.0
220,322,Glicose,Dez/2023,2023-12-01,GB02,1,191.0
840,322,Glicose,Dez/2023,2023-12-01,GB02,1,205.0
602,322,Glicose,Dez/2023,2023-12-01,GB01,2,91.0
97,322,Glicose,Dez/2023,2023-12-01,GB01,1,91.0
97,322,Glicose,Dez/2023,2023-12-01,GB02,1,195.0
220,322,Glicose,Dez/2023,2023-12-01,GB03,1,347.0
602,322,Glicose,Dez/2023,2023-12-01,GB02,2,193.0
151,322,Glicose,Dez/2023,2023-12-01,GB02,1,205.0
142,322,Glicose,Dez/2023,2023-12-01,GB02,1,199.0
359,322,Glicose,Dez/2023,2023-12-01,GB02,1,198.0
1736,322,Glicose,Dez/2023,2023-12-01,GB01,1,94.0
97,322,Glicose,Dez/2023,2023-12-01,GB03,1,357.0
241,322,Glicose,Dez/2023,2023-12-01,GB01,1,97.0
151,322,Glicose,Dez/2023,2023-12-01,GB03,1,368.0
142,322,Glicose,Dez/2023,2023-12-01,GB03,1,360.0
602,322,Glicose,Dez/2023,2023-12-01,GB03,2,358.0
142,322,Glicose,Dez/2023,2023-12-01,GB01,1,97.0
282,322,Glicose,Dez/2023,2023-12-01,GB01,1,98.0
359,322,Glicose,Dez/2023,2023-12-01,GB03,1,366.0
918,322,Glicose,Dez/2023,2023-12-01,GB03,2,363.0
1063,322,Glicose,Dez/2023,2023-12-01,GB01,1,94.0
282,322,Glicose,Dez/2023,2023-12-01,GB02,1,195.0
142,322,Glicose,Dez/2023,2023-12-01,GB01,2,97.0
1063,322,Glicose,Dez/2023,2023-12-01,GB02,1,200.0
151,322,Glicose,Dez/2023,2023-12-01,GB01,2,95.0
492,322,Glicose,Dez/2023,2023-12-01,GB02,1,212.0
241,322,Glicose,Dez/2023,2023-12-01,GB02,1,198.0
602,322,Glicose,Dez/2023,2023-12-01,GB01,3,90.0
492,322,Glicose,Dez/2023,2023-12-01,GB03,1,380.0
840,322,Glicose,Dez/2023,2023-12-01,GB03,1,379.0
940,322,Glicose,Dez/2023,2023-12-01,GB01,1,92.0
282,322,Glicose,Dez/2023,2023-12-01,GB03,1,343.0
142,322,Glicose,Dez/2023,2023-12-01,GB02,2,201.0
151,322,Glicose,Dez/2023,2023-12-01,GB02,2,204.0
1063,322,Glicose,Dez/2023,2023-12-01,GB03,1,365.0
412,322,Glicose,Dez/2023,2023-12-01,GB01,1,90.0
241,322,Glicose,Dez/2023,2023-12-01,GB03,1,350.0
602,322,Glicose,Dez/2023,2023-12-01,GB02,3,194.0
518,322,Glicose,Dez/2023,2023-12-01,GB01,1,99.0
892,322,Glicose,Dez/2023,2023-12-01,GB01,1,91.0
940,322,Glicose,Dez/2023,2023-12-01,GB02,1,200.0
151,322,Glicose,Dez/2023,2023-12-01,GB03,2,376.0
594,322,Glicose,Dez/2023,2023-12-01,GB02,1,193.0
412,322,Glicose,Dez/2023,2023-12-01,GB02,1,195.0
1101,322,Glicose,Dez/2023,2023-12-01,GB01,1,93.0
220,322,Glicose,Dez/2023,2023-12-01,GB01,1,91.0
594,322,Glicose,Dez/2023,2023-12-01,GB03,1,345.0
602,322,Glicose,Dez/2023,2023-12-01,GB03,3,355.0
892,322,Glicose,Dez/2023,2023-12-01,GB02,1,197.0
940,322,Glicose,Dez/2023,2023-12-01,GB03,1,373.0
423,322,Glicose,Dez/2023,2023-12-01,GB03,1,353.0
518,322,Glicose,Dez/2023,2023-12-01,GB02,1,206.0
483,322,Glicose,Dez/2023,2023-12-01,GB01,1,99.0
1101,322,Glicose,Dez/2023,2023-12-01,GB02,1,201.0
918,322,Glicose,Dez/2023,2023-12-01,GB01,2,103.0
918,322,Glicose,Dez/2023,2023-12-01,GB02,1,194.0
602,322,Glicose,Dez/2023,2023-12-01,GB01,1,90.0
675,322,Glicose,Dez/2023,2023-12-01,GB01,1,101.0
412,322,Glicose,Dez/2023,2023-12-01,GB03,1,360.0
918,322,Glicose,Dez/2023,2023-12-01,GB02,2,199.0
518,322,Glicose,Dez/2023,2023-12-01,GB03,1,348.0
940,322,Glicose,Dez/2023,2023-12-01,GB01,2,93.0
423,322,Glicose,Dez/2023,2023-12-01,GB01,1,96.0
918,322,Glicose,Dez/2023,2023-12-01,GB03,1,348.0
483,322,Glicose,Dez/2023,2023-12-01,GB02,1,200.0
1101,322,Glicose,Dez/2023,2023-12-01,GB03,1,368.0
892,322,Glicose,Dez/2023,2023-12-01,GB03,1,370.0
602,322,Glicose,Dez/2023,2023-12-01,GB02,1,193.0
675,322,Glicose,Dez/2023,2023-12-01,GB02,1,205.0
594,322,Glicose,Dez/2023,2023-12-01,GB01,1,94.0
819,322,Glicose,Dez/2023,2023-12-01,GB02,1,192.0
423,322,Glicose,Dez/2023,2023-12-01,GB02,1,200.0
3060,322,Glicose,Dez/2023,2023-12-01,GB03,1,344.0
829,322,Glicose,Dez/2023,2023-12-01,GB03,1,363.0
940,322,Glicose,Dez/2023,2023-12-01,GB02,2,201.0
